"N1","N2","S1","S2","W1","W2","E1","E2","NW","NE","SW","SE","move"
free,free,free,free,free,trap,free,out_zone,free,ally,free,ally,MOVE_S
free,ally,free,free,ally,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,out_zone,free,trap,free,free,free,free,ally,ally,free,free,MOVE_E
out_zone,out_zone,ally,free,free,ally,free,free,out_zone,out_zone,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,free,free,free,free,out_zone,free,trap,ally,free,ally,free,MOVE_N
free,free,free,ally,out_zone,out_zone,ally,free,out_zone,free,out_zone,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,trap,free,out_zone,free,free,free,free,free,free,ally,ally,MOVE_W
ally,free,out_zone,out_zone,free,free,free,ally,free,free,out_zone,out_zone,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,free_r,ally,free,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,enemy_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,enemy_r,free,trap,free,free_r,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,enemy_r,ally,free,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,ally,enemy_r,trap,enemy_r,free,trap,free,trap,free,free_r,enemy,MOVE_S
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
trap,free,free_r,free,free,ally,free_r,trap,free,enemy,trap,enemy_r,ATK_SE
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
trap,free,free,free,enemy_r,free_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,ally,free_r,enemy_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
ally,out_zone,free,free,free,free,free,free,free,free,free,free,MOVE_S
free_r,trap,enemy,free,trap,free,enemy_r,free,ally,enemy_r,free,trap,ATK_NE
free,free,trap,free,free,ally,free_r,ally_r,free,trap,free,free_r,MOVE_E
free,free,free,free,free,out_zone,free,free,free,free,free,free,MOVE_E
free_r,enemy_r,free,ally,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,ally,free,enemy_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
enemy,free,enemy_r,trap,ally_r,free,trap,free,trap,free,free_r,enemy,MOVE_S
trap,free,free_r,free,free,ally,free_r,trap,free,enemy,trap,ally_r,ATK_NE
free,trap,free,free,free,free,free,free_r,free,free,free,trap,MOVE_E
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
trap,free,free,free,enemy_r,free_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
ally,out_zone,free,enemy,free,free,free,free,ally,free,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,ally,free,out_zone,out_zone,free,free,MOVE_S
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,free_r,ally,free,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,free_r,ally,free,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,enemy_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,enemy_r,free,trap,free,free_r,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
enemy_r,free,trap,free,free_r,trap,enemy,free,enemy_r,trap,free,free,ATK_NW
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_N
free,ally,free_r,trap,enemy_r,free,trap,free,trap,free,free_r,enemy,MOVE_W
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,trap,free,free,free,ally,enemy,enemy_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
trap,free,free,free,free_r,free_r,free,ally,enemy_r,free,trap,free,ATK_NW
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
trap,free,free_r,ally,enemy,free,enemy_r,trap,free,enemy,trap,free_r,MOVE_E
free_r,free_r,free,ally,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,free,out_zone,free,free,free,free,free,free,free,free,MOVE_N
free,ally,enemy_r,free_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
ally,out_zone,free,free,free,free,free,free,free,free,free,free,MOVE_S
free,free,trap,free,free,ally,free_r,enemy_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
enemy_r,free,trap,free,enemy_r,trap,enemy,free,free_r,trap,free,free,MOVE_W
free,ally_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,ally,free_r,trap,free_r,free,trap,free,trap,free,enemy_r,enemy,ATK_SW
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
trap,free,free,free,free_r,enemy_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
enemy_r,free_r,free,free,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
free_r,trap,free,free,trap,free,enemy_r,free,enemy,free_r,free,trap,MOVE_E
free,ally,free_r,ally_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
free,out_zone,free,free,free,free,free,free,free,free,free,free,MOVE_S
free,free,trap,free,free,ally,free_r,enemy_r,free,trap,free,free_r,MOVE_E
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,free,free,trap,enemy,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,free_r,free,trap,free,free_r,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,free_r,ally,free,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,enemy_r,ally,free,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,trap,free,free,free,ally,free,enemy_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free_r,free,trap,free,free_r,trap,enemy,free,enemy_r,trap,free,free,ATK_NW
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_N
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,free,trap,free,free,ally,enemy_r,free_r,free,trap,free,free_r,MOVE_E
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
trap,free,free,free,free_r,free_r,free,ally,enemy_r,free,trap,free,ATK_NW
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free_r,enemy_r,free,ally,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,ally,out_zone,free,free,free,free,free,free,free,free,MOVE_N
free,ally,enemy_r,free_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
free,out_zone,free,free,free,free,free,free,ally,free,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,trap,free,free,free,ally,free,enemy_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,enemy,free_r,trap,enemy_r,enemy,trap,free,trap,free,enemy_r,free,ATK_SW
free,free,free,trap,free,free_r,free,ally,trap,free,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
trap,free,enemy_r,enemy,enemy,free,free_r,trap,free,free,trap,free_r,MOVE_S
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,free,trap,free,free,ally,free_r,free_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
enemy_r,free_r,enemy,enemy,free,free,trap,free,trap,free_r,free,free,MOVE_N
trap,free,free,free,free_r,ally_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,free,out_zone,free,free,free,free,MOVE_W
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
enemy_r,enemy_r,ally,free,free,free,trap,free,trap,enemy_r,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,ally,free_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
ally,out_zone,free,free,free,free,free,free,free,free,free,free,MOVE_S
free,trap,free,free,free,ally,free,enemy_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free_r,free,trap,free,enemy_r,trap,free,ally,enemy_r,trap,free,free,MOVE_W
free,free,free,trap,free,free_r,free,ally,trap,free,free,free,MOVE_W
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
trap,free,enemy_r,enemy,enemy,free,free_r,trap,free,free,trap,free_r,MOVE_S
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,free,trap,free,free,ally,free_r,free_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
enemy_r,free_r,enemy,enemy,free,free,trap,free,trap,free_r,free,free,MOVE_N
trap,free,free,free,free_r,ally_r,free,free,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
enemy_r,enemy_r,ally,free,free,free,trap,free,trap,enemy_r,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,ally,free_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
ally,out_zone,free,free,free,free,free,free,free,free,free,free,MOVE_S
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,free_r,ally,free,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,free_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,enemy_r,ally,free,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,enemy_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
free_r,trap,enemy,free,trap,free,enemy_r,free,free,enemy_r,free,trap,ATK_NE
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
enemy_r,free,trap,free,free_r,trap,free,ally,free_r,trap,enemy,free,MOVE_N
free,free,free,trap,free,free_r,free,ally,trap,free,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,ally,enemy,enemy_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
free_r,free_r,free,ally,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
enemy,free,enemy_r,trap,free_r,ally,trap,free,trap,free,free_r,enemy,MOVE_S
free,free,trap,free,free,ally,free_r,free_r,free,trap,free,free_r,MOVE_E
free,free,free,free,free,out_zone,free,free,free,free,free,free,MOVE_E
trap,free,free,free,enemy_r,free_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,ally,out_zone,free,free,free,free,MOVE_W
free,ally,free_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
free,out_zone,free,free,free,free,free,free,ally,free,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
enemy_r,trap,enemy,free,trap,free,enemy_r,free,free,free_r,free,trap,MOVE_N
free,trap,free,free,free,ally,free,ally_r,free,free,free,trap,MOVE_E
free_r,free,trap,free,free_r,trap,free,ally,enemy_r,trap,enemy,free,ATK_NW
free,free,free,trap,free,free_r,free,ally,trap,free,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
free_r,enemy_r,free,ally,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,trap,free,free,free,enemy_r,free_r,free,trap,free,enemy_r,ATK_SE
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
trap,free,enemy_r,free,free,free,free_r,trap,free,enemy,trap,free_r,MOVE_S
trap,free,free,free,free_r,ally_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,free,out_zone,free,free,free,free,MOVE_W
free,ally,free_r,enemy_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
free,out_zone,free,free,free,free,free,free,ally,free,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
enemy,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,free_r,ally,free,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,free_r,free,trap,free,free_r,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,ATK_SW
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,enemy_r,ally,free,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free,trap,free,free,free,ally,free,enemy_r,free,free,free,trap,MOVE_E
free,free,ally,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
trap,free,free_r,free,enemy,free,free_r,trap,free,free,trap,enemy_r,ATK_SE
free,ally,free,free_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_S
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
trap,free,free,free,enemy_r,free_r,free,ally,free_r,free,trap,free,MOVE_W
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,free,trap,free,free,ally,free_r,free_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,free,out_zone,free,free,free,free,ally,free,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,ally,free_r,enemy_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
ally,out_zone,free,free,free,free,free,free,free,free,free,free,MOVE_S
enemy_r,free_r,free,ally,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free_r,trap,free,enemy,trap,free,enemy_r,enemy,free,enemy_r,free,trap,ATK_NE
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,ally,free,enemy_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
enemy_r,enemy,trap,free,free_r,trap,enemy,free,free_r,trap,free,free,MOVE_N
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_N
trap,free,free,free,free_r,free_r,free,ally,enemy_r,free,trap,free,ATK_NW
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
enemy,enemy,enemy_r,free_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
free,free,trap,free,free,ally,free_r,ally_r,free,trap,free,free_r,MOVE_E
free,free,free,free,free,out_zone,free,free,free,free,free,free,MOVE_E
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,enemy_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free_r,enemy_r,free,ally,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,ally,out_zone,free,free,free,free,free,free,free,free,MOVE_N
free,free,free,trap,free,enemy_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
trap,free,free_r,free,free,ally,enemy_r,trap,free,free,trap,enemy_r,MOVE_E
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,ally,free,enemy_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
enemy_r,enemy,trap,free,free_r,trap,enemy,free,free_r,trap,free,free,MOVE_N
free,free_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_N
trap,free,free,free,free_r,free_r,free,ally,enemy_r,free,trap,free,ATK_NW
free,free,free,free,free,free,free,out_zone,free,ally,free,free,MOVE_W
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
enemy,enemy,enemy_r,free_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
free,free,trap,free,free,free,free_r,ally_r,free,trap,free,free_r,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,enemy_r,enemy_r,trap,free,free,free,free,free,enemy_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free_r,enemy_r,free,ally,free,free,trap,free,trap,enemy_r,free,free,ATK_NE
free,free,ally,out_zone,free,free,free,free,free,free,free,free,MOVE_N
ally,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free_r,free_r,ally,free,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,out_zone,ally,free,free,free,free,free,ally,free,free,free,MOVE_S
ally,free,free_r,free_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
free,free,free,free,free,out_zone,ally,free,free,free,ally,free,MOVE_E
free,free,trap,free,ally,free,free_r,enemy_r,free,trap,free,enemy_r,ATK_SE
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_N
free,free,free,free,ally,free,free,out_zone,free,ally,free,free,MOVE_W
trap,free,free,free,free_r,enemy_r,ally,free,enemy_r,free,trap,free,ATK_NW
free,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_S
free,enemy_r,free,ally,free,trap,free,free,free,trap,free,free,MOVE_N
free,free,out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,MOVE_N
free,ally,free,enemy_r,free,free,free,trap,free,free,trap,free,MOVE_S
out_zone,out_zone,free,free,ally,free,free,free,out_zone,out_zone,free,free,MOVE_S
free_r,trap,enemy,free,trap,free,free_r,free,free,enemy_r,free,trap,ATK_NE
free,trap,free,free,free,ally,free,free_r,free,free,free,trap,MOVE_E
free,free,free,free,out_zone,out_zone,free,free,out_zone,free,out_zone,free,MOVE_E
free,free,free,trap,free,free_r,free,ally,trap,free,free,free,MOVE_W
ally,free,free,free,free,free,out_zone,out_zone,free,out_zone,free,out_zone,MOVE_W
free_r,free_r,free,ally,free,free,trap,free,trap,free_r,free,free,MOVE_N
free,free,free,out_zone,free,free,free,free,free,free,free,ally,MOVE_N
free,free,out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,MOVE_W
free,ally,enemy_r,free_r,trap,free,free,free,free,free,free_r,trap,MOVE_S
free,out_zone,free,free,free,free,free,free,ally,free,free,free,MOVE_S
out_zone,out_zone,free,free,free,free,free,free,out_zone,out_zone,free,free,MOVE_E
enemy_r,free,trap,free,enemy_r,trap,enemy,free,free_r,trap,free,free,MOVE_W
